2024-12-10 16:11:47,015 - INFO - Check if cuda is available: True
2024-12-10 16:11:59,331 - INFO - Dataset loaded
2024-12-10 16:11:59,912 - INFO - Tokenization completed
2024-12-10 16:12:02,074 - INFO - Training started
2024-12-10 16:12:15,171 - INFO - Epoch 1, Total Loss: 684.1099
2024-12-10 16:12:15,306 - INFO - Epoch 1, Total Loss: 691.6522
2024-12-10 16:12:15,453 - INFO - Epoch 1, Total Loss: 699.1780
2024-12-10 16:12:15,592 - INFO - Epoch 1, Total Loss: 706.7001
2024-12-10 16:12:15,742 - INFO - Epoch 1, Total Loss: 714.1739
2024-12-10 16:12:15,892 - INFO - Epoch 1, Total Loss: 721.6302
2024-12-10 16:12:16,034 - INFO - Epoch 1, Total Loss: 729.0713
2024-12-10 16:12:16,186 - INFO - Epoch 1, Total Loss: 736.5111
2024-12-10 16:12:16,324 - INFO - Epoch 1, Total Loss: 743.8724
2024-12-10 16:12:16,469 - INFO - Epoch 1, Total Loss: 751.2810
2024-12-10 16:12:16,609 - INFO - Epoch 1, Total Loss: 758.6651
2024-12-10 16:12:16,749 - INFO - Epoch 1, Total Loss: 766.0113
2024-12-10 16:12:16,894 - INFO - Epoch 1, Total Loss: 773.3376
2024-12-10 16:12:17,033 - INFO - Epoch 1, Total Loss: 780.6481
2024-12-10 16:12:17,180 - INFO - Epoch 1, Total Loss: 787.9376
2024-12-10 16:12:17,326 - INFO - Epoch 1, Total Loss: 795.2555
2024-12-10 16:12:17,466 - INFO - Epoch 1, Total Loss: 802.5106
2024-12-10 16:12:17,609 - INFO - Epoch 1, Total Loss: 809.7617
2024-12-10 16:12:17,753 - INFO - Epoch 1, Total Loss: 816.9780
2024-12-10 16:12:17,898 - INFO - Epoch 1, Total Loss: 824.2216
2024-12-10 16:12:18,035 - INFO - Epoch 1, Total Loss: 831.4271
2024-12-10 16:12:18,186 - INFO - Epoch 1, Total Loss: 838.6659
2024-12-10 16:12:18,335 - INFO - Epoch 1, Total Loss: 845.8780
2024-12-10 16:12:18,493 - INFO - Epoch 1, Total Loss: 853.0482
2024-12-10 16:12:18,660 - INFO - Epoch 1, Total Loss: 860.2181
2024-12-10 16:12:18,818 - INFO - Epoch 1, Total Loss: 867.3635
2024-12-10 16:12:18,970 - INFO - Epoch 1, Total Loss: 874.5302
2024-12-10 16:12:19,118 - INFO - Epoch 1, Total Loss: 881.6980
2024-12-10 16:12:19,261 - INFO - Epoch 1, Total Loss: 888.8208
2024-12-10 16:12:19,411 - INFO - Epoch 1, Total Loss: 895.9360
2024-12-10 16:12:19,571 - INFO - Epoch 1, Total Loss: 903.0195
2024-12-10 16:12:19,715 - INFO - Epoch 1, Total Loss: 910.1076
2024-12-10 16:12:19,868 - INFO - Epoch 1, Total Loss: 917.1833
2024-12-10 16:12:20,016 - INFO - Epoch 1, Total Loss: 924.2392
2024-12-10 16:12:20,167 - INFO - Epoch 1, Total Loss: 931.2772
2024-12-10 16:12:20,321 - INFO - Epoch 1, Total Loss: 938.3192
2024-12-10 16:12:20,484 - INFO - Epoch 1, Total Loss: 945.3217
2024-12-10 16:12:20,638 - INFO - Epoch 1, Total Loss: 952.3558
2024-12-10 16:12:20,789 - INFO - Epoch 1, Total Loss: 959.3481
2024-12-10 16:12:20,945 - INFO - Epoch 1, Total Loss: 966.3278
2024-12-10 16:12:21,085 - INFO - Epoch 1, Total Loss: 973.3132
2024-12-10 16:12:21,239 - INFO - Epoch 1, Total Loss: 980.2770
2024-12-10 16:12:21,391 - INFO - Epoch 1, Total Loss: 987.2313
2024-12-10 16:12:21,538 - INFO - Epoch 1, Total Loss: 994.1973
2024-12-10 16:12:21,697 - INFO - Epoch 1, Total Loss: 1001.1548
2024-12-10 16:12:21,864 - INFO - Epoch 1, Total Loss: 1008.1076
2024-12-10 16:12:22,046 - INFO - Epoch 1, Total Loss: 1015.0044
2024-12-10 16:12:22,204 - INFO - Epoch 1, Total Loss: 1021.9402
2024-12-10 16:12:22,368 - INFO - Epoch 1, Total Loss: 1028.8472
2024-12-10 16:12:22,519 - INFO - Epoch 1, Total Loss: 1035.7971
2024-12-10 16:12:22,689 - INFO - Epoch 1, Total Loss: 1042.6622
2024-12-10 16:12:22,852 - INFO - Epoch 1, Total Loss: 1049.5508
2024-12-10 16:12:23,010 - INFO - Epoch 1, Total Loss: 1056.4396
2024-12-10 16:12:23,179 - INFO - Epoch 1, Total Loss: 1063.2967
2024-12-10 16:12:23,556 - INFO - Epoch 1, Total Loss: 1070.1558
2024-12-10 16:12:23,715 - INFO - Epoch 1, Total Loss: 1077.0420
2024-12-10 16:12:23,876 - INFO - Epoch 1, Total Loss: 1083.9099
2024-12-10 16:12:24,057 - INFO - Epoch 1, Total Loss: 1090.7893
2024-12-10 16:12:24,225 - INFO - Epoch 1, Total Loss: 1097.6193
2024-12-10 16:12:24,378 - INFO - Epoch 1, Total Loss: 1104.4713
2024-12-10 16:12:24,535 - INFO - Epoch 1, Total Loss: 1111.3086
2024-12-10 16:12:24,695 - INFO - Epoch 1, Total Loss: 1118.1902
2024-12-10 16:12:24,851 - INFO - Epoch 1, Total Loss: 1125.0038
2024-12-10 16:12:25,008 - INFO - Epoch 1, Total Loss: 1131.8502
2024-12-10 16:12:25,166 - INFO - Epoch 1, Total Loss: 1138.6729
2024-12-10 16:12:25,326 - INFO - Epoch 1, Total Loss: 1145.4970
2024-12-10 16:12:25,476 - INFO - Epoch 1, Total Loss: 1152.3087
2024-12-10 16:12:25,636 - INFO - Epoch 1, Total Loss: 1159.1290
2024-12-10 16:12:25,794 - INFO - Epoch 1, Total Loss: 1165.9155
2024-12-10 16:12:25,950 - INFO - Epoch 1, Total Loss: 1172.7173
2024-12-10 16:12:26,100 - INFO - Epoch 1, Total Loss: 1179.4740
2024-12-10 16:12:26,263 - INFO - Epoch 1, Total Loss: 1186.3019
2024-12-10 16:12:26,420 - INFO - Epoch 1, Total Loss: 1193.0905
2024-12-10 16:12:26,575 - INFO - Epoch 1, Total Loss: 1199.8855
2024-12-10 16:12:26,737 - INFO - Epoch 1, Total Loss: 1206.7242
2024-12-10 16:12:26,892 - INFO - Epoch 1, Total Loss: 1213.5120
2024-12-10 16:12:27,037 - INFO - Epoch 1, Total Loss: 1220.2970
2024-12-10 16:12:27,189 - INFO - Epoch 1, Total Loss: 1227.0427
2024-12-10 16:12:27,339 - INFO - Epoch 1, Total Loss: 1233.7948
2024-12-10 16:12:27,490 - INFO - Epoch 1, Total Loss: 1240.5005
2024-12-10 16:12:27,637 - INFO - Epoch 1, Total Loss: 1247.2688
2024-12-10 16:12:27,799 - INFO - Epoch 1, Total Loss: 1254.0470
2024-12-10 16:12:27,955 - INFO - Epoch 1, Total Loss: 1260.8026
2024-12-10 16:12:28,105 - INFO - Epoch 1, Total Loss: 1267.5334
2024-12-10 16:12:28,256 - INFO - Epoch 1, Total Loss: 1274.3083
2024-12-10 16:12:28,406 - INFO - Epoch 1, Total Loss: 1281.0438
2024-12-10 16:12:28,564 - INFO - Epoch 1, Total Loss: 1287.7855
2024-12-10 16:12:28,715 - INFO - Epoch 1, Total Loss: 1294.5316
2024-12-10 16:12:28,863 - INFO - Epoch 1, Total Loss: 1301.2600
2024-12-10 16:12:29,024 - INFO - Epoch 1, Total Loss: 1307.9983
2024-12-10 16:12:29,183 - INFO - Epoch 1, Total Loss: 1314.7668
2024-12-10 16:12:29,338 - INFO - Epoch 1, Total Loss: 1321.4294
2024-12-10 16:12:29,487 - INFO - Epoch 1, Total Loss: 1328.1805
2024-12-10 16:12:29,639 - INFO - Epoch 1, Total Loss: 1334.9096
2024-12-10 16:12:29,792 - INFO - Epoch 1, Total Loss: 1341.6509
2024-12-10 16:12:29,942 - INFO - Epoch 1, Total Loss: 1348.3578
2024-12-10 16:12:30,099 - INFO - Epoch 1, Total Loss: 1355.0942
2024-12-10 16:12:30,246 - INFO - Epoch 1, Total Loss: 1361.7802
2024-12-10 16:12:30,397 - INFO - Epoch 1, Total Loss: 1368.4778
2024-12-10 16:12:30,552 - INFO - Epoch 1, Total Loss: 1375.1382
2024-12-10 16:12:30,703 - INFO - Epoch 1, Total Loss: 1381.8516
2024-12-10 16:12:30,854 - INFO - Epoch 1, Total Loss: 1388.5305
2024-12-10 16:12:31,009 - INFO - Epoch 1, Total Loss: 1395.2791
2024-12-10 16:12:31,161 - INFO - Epoch 1, Total Loss: 1401.9300
2024-12-10 16:12:31,313 - INFO - Epoch 1, Total Loss: 1408.6444
2024-12-10 16:12:31,454 - INFO - Epoch 1, Total Loss: 1415.3859
2024-12-10 16:12:31,608 - INFO - Epoch 1, Total Loss: 1422.1076
2024-12-10 16:12:31,756 - INFO - Epoch 1, Total Loss: 1428.8035
2024-12-10 16:12:31,903 - INFO - Epoch 1, Total Loss: 1435.4900
2024-12-10 16:12:32,050 - INFO - Epoch 1, Total Loss: 1442.1526
2024-12-10 16:12:32,196 - INFO - Epoch 1, Total Loss: 1448.8074
2024-12-10 16:12:32,342 - INFO - Epoch 1, Total Loss: 1455.4813
2024-12-10 16:12:32,498 - INFO - Epoch 1, Total Loss: 1462.1582
2024-12-10 16:12:32,648 - INFO - Epoch 1, Total Loss: 1468.8018
2024-12-10 16:12:32,806 - INFO - Epoch 1, Total Loss: 1475.4526
2024-12-10 16:12:32,977 - INFO - Epoch 1, Total Loss: 1482.1325
2024-12-10 16:12:33,134 - INFO - Epoch 1, Total Loss: 1488.7803
2024-12-10 16:12:33,284 - INFO - Epoch 1, Total Loss: 1495.5015
2024-12-10 16:12:33,440 - INFO - Epoch 1, Total Loss: 1502.1927
2024-12-10 16:12:33,590 - INFO - Epoch 1, Total Loss: 1508.8522
2024-12-10 16:12:33,741 - INFO - Epoch 1, Total Loss: 1515.4865
2024-12-10 16:12:33,893 - INFO - Epoch 1, Total Loss: 1522.1415
2024-12-10 16:12:34,049 - INFO - Epoch 1, Total Loss: 1528.7567
2024-12-10 16:12:34,206 - INFO - Epoch 1, Total Loss: 1535.3954
2024-12-10 16:12:34,360 - INFO - Epoch 1, Total Loss: 1542.0456
2024-12-10 16:12:34,506 - INFO - Epoch 1, Total Loss: 1548.6873
2024-12-10 16:12:34,651 - INFO - Epoch 1, Total Loss: 1555.3459
2024-12-10 16:12:34,801 - INFO - Epoch 1, Total Loss: 1561.9804
2024-12-10 16:12:34,948 - INFO - Epoch 1, Total Loss: 1568.6318
2024-12-10 16:12:35,092 - INFO - Epoch 1, Total Loss: 1575.2894
2024-12-10 16:12:35,234 - INFO - Epoch 1, Total Loss: 1581.9677
2024-12-10 16:12:35,390 - INFO - Epoch 1, Total Loss: 1588.5676
2024-12-10 16:12:35,540 - INFO - Epoch 1, Total Loss: 1595.1695
2024-12-10 16:12:35,688 - INFO - Epoch 1, Total Loss: 1601.7865
2024-12-10 16:12:35,839 - INFO - Epoch 1, Total Loss: 1608.4197
2024-12-10 16:12:35,987 - INFO - Epoch 1, Total Loss: 1615.0576
2024-12-10 16:12:36,130 - INFO - Epoch 1, Total Loss: 1621.6744
2024-12-10 16:12:36,282 - INFO - Epoch 1, Total Loss: 1628.2591
2024-12-10 16:12:36,424 - INFO - Epoch 1, Total Loss: 1634.8760
2024-12-10 16:12:36,575 - INFO - Epoch 1, Total Loss: 1641.4978
2024-12-10 16:12:36,738 - INFO - Epoch 1, Total Loss: 1648.1294
2024-12-10 16:12:36,883 - INFO - Epoch 1, Total Loss: 1654.7492
2024-12-10 16:12:37,026 - INFO - Epoch 1, Total Loss: 1661.3591
2024-12-10 16:12:37,179 - INFO - Epoch 1, Total Loss: 1667.9757
2024-12-10 16:12:37,331 - INFO - Epoch 1, Total Loss: 1674.5931
2024-12-10 16:12:37,478 - INFO - Epoch 1, Total Loss: 1681.2380
2024-12-10 16:12:37,621 - INFO - Epoch 1, Total Loss: 1687.7835
2024-12-10 16:12:37,776 - INFO - Epoch 1, Total Loss: 1694.3797
2024-12-10 16:12:37,926 - INFO - Epoch 1, Total Loss: 1700.9984
2024-12-10 16:12:38,070 - INFO - Epoch 1, Total Loss: 1707.5586
2024-12-10 16:12:38,210 - INFO - Epoch 1, Total Loss: 1714.1313
2024-12-10 16:12:38,359 - INFO - Epoch 1, Total Loss: 1720.7316
2024-12-10 16:12:38,512 - INFO - Epoch 1, Total Loss: 1727.3499
2024-12-10 16:12:38,655 - INFO - Epoch 1, Total Loss: 1733.9346
2024-12-10 16:12:38,800 - INFO - Epoch 1, Total Loss: 1740.4785
2024-12-10 16:12:38,955 - INFO - Epoch 1, Total Loss: 1747.0141
2024-12-10 16:12:39,109 - INFO - Epoch 1, Total Loss: 1753.5718
2024-12-10 16:12:39,256 - INFO - Epoch 1, Total Loss: 1760.1584
2024-12-10 16:12:39,407 - INFO - Epoch 1, Total Loss: 1766.7503
2024-12-10 16:12:39,555 - INFO - Epoch 1, Total Loss: 1773.3222
2024-12-10 16:12:39,710 - INFO - Epoch 1, Total Loss: 1779.9147
2024-12-10 16:12:39,855 - INFO - Epoch 1, Total Loss: 1786.4880
2024-12-10 16:12:40,002 - INFO - Epoch 1, Total Loss: 1793.0505
2024-12-10 16:12:40,157 - INFO - Epoch 1, Total Loss: 1799.6162
2024-12-10 16:12:40,311 - INFO - Epoch 1, Total Loss: 1806.1582
2024-12-10 16:12:40,457 - INFO - Epoch 1, Total Loss: 1812.6776
2024-12-10 16:12:40,613 - INFO - Epoch 1, Total Loss: 1819.2173
2024-12-10 16:12:40,761 - INFO - Epoch 1, Total Loss: 1825.7958
2024-12-10 16:12:40,926 - INFO - Epoch 1, Total Loss: 1832.3565
